date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:18	97/97	---M-Z	200	added ('OK')	text/plain	etag:%2251-6201e78ad6080-gzip%22	https://www.mykhana.in/robots.txt		(from )
15:49:18	44773/44773	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:19:18%20GMT	https://www.mykhana.in/	/home/sid_221/websites/catering/www.mykhana.in/index.html	(from )
15:49:19	3774/3774	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22ebe-610b6953a9280%22	https://www.mykhana.in/images/favicon.ico	/home/sid_221/websites/catering/www.mykhana.in/images/favicon.ico	(from https://www.mykhana.in/)
15:49:20	206290/206290	---M-Z	200	added ('OK')	text/css	etag:%22325d2-6224f313b6200-gzip%22	https://www.mykhana.in/css/style.css	/home/sid_221/websites/catering/www.mykhana.in/css/style.css	(from https://www.mykhana.in/)
15:49:20	17646/17646	---M-Z	200	added ('OK')	text/css	etag:%2244ee-610b694df0500-gzip%22	https://www.mykhana.in/css/responsive.min.css	/home/sid_221/websites/catering/www.mykhana.in/css/responsive.min.css	(from https://www.mykhana.in/)
15:49:21	5750/5750	---M--	200	added ('OK')	text/html	etag:%221676-610b69549d4c0%22	https://www.mykhana.in/images/logo.webp	/home/sid_221/websites/catering/www.mykhana.in/images/logo.html	(from https://www.mykhana.in/)
15:49:23	30154/30154	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:19:22%20GMT	https://www.mykhana.in/contact-us	/home/sid_221/websites/catering/www.mykhana.in/contact-us.html	(from https://www.mykhana.in/)
15:49:23	1680/1680	---M--	200	added ('OK')	text/html	etag:%22690-610b6953a9280%22	https://www.mykhana.in/images/logo-bg.webp	/home/sid_221/websites/catering/www.mykhana.in/images/logo-bg.html	(from https://www.mykhana.in/)
15:49:25	98483/98483	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:19:24%20GMT	https://www.mykhana.in/corporate-catering-services-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/corporate-catering-services-in-bangalore.html	(from https://www.mykhana.in/)
15:49:26	60656/60656	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:19:25%20GMT	https://www.mykhana.in/event-catering-service-in-bangalore	/home/sid_221/websites/catering/www.mykhana.in/event-catering-service-in-bangalore.html	(from https://www.mykhana.in/)
15:49:27	39190/39190	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:19:26%20GMT	https://www.mykhana.in/OurClient	/home/sid_221/websites/catering/www.mykhana.in/OurClient.html	(from https://www.mykhana.in/)
15:49:28	36966/36966	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2010:19:27%20GMT	https://www.mykhana.in/about-us	/home/sid_221/websites/catering/www.mykhana.in/about-us.html	(from https://www.mykhana.in/)
15:49:28	22138/22138	---M--	200	added ('OK')	text/html	etag:%22567a-610b69549d4c0%22	https://www.mykhana.in/images/flavors-bg.webp	/home/sid_221/websites/catering/www.mykhana.in/images/flavors-bg.html	(from https://www.mykhana.in/)
15:49:29	19642/19642	---M--	200	added ('OK')	text/html	etag:%224cba-610b695d32900%22	https://www.mykhana.in/images/services/service-4.webp	/home/sid_221/websites/catering/www.mykhana.in/images/services/service-4.html	(from https://www.mykhana.in/)
